index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
0,Nike,Air Jordan 1,Basketball,Men,US 10,Red/Black,Leather,$170.00 
1,Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,$180.00 
2,Reebok,Classic Leather,Casual,Men,US 11,White,Leather,$75.00 
3,Converse,Chuck Taylor,Casual,Women,US 8,Navy,Canvas,$55.00 
4,Puma,Future Rider,Lifestyle,Women,US 7.5,Pink,Mesh,$80.00 
5,Vans,Old Skool,Skate,Men,US 8.5,Black/White,Suede/Canvas,$65.00 
6,New Balance,990v5,Running,Women,US 6.5,Grey,Suede/Mesh,$175.00 
7,Asics,Gel-Kayano 28,Running,Men,US 10.5,Blue,Mesh,$160.00 
8,Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,$65.00 
9,Skechers,Go Run Razor 3,Running,Men,US 9,Black,Mesh,$110.00 
10,Nike,Air Max 270,Running,Women,US 7,Pink,Mesh,$150.00 
11,Adidas,Stan Smith,Casual,Men,US 9,White/Green,Leather,$80.00 
12,Reebok,Club C 85,Casual,Women,US 8.5,Pink,Leather,$70.00 
13,Converse,One Star,Skate,Men,US 10,Black,Suede,$75.00 
14,Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,$110.00 
15,Vans,Authentic,Skate,Women,US 6,White,Canvas,$50.00 
16,New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,$150.00 
17,Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,$150.00 
18,Fila,Ray Tracer,Fashion,Men,US 10,Black,Synthetic,$70.00 
19,Skechers,Arch Fit,Walking,Women,US 7.5,Grey,Mesh,$70.00 
20,Nike,Air Force 1,Casual,Men,US 10,White,Leather,$90.00 
21,Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,$140.00 
22,Reebok,Zig Kinetica II,Running,Men,US 11,White,Mesh,$120.00 
23,Converse,Jack Purcell,Casual,Women,US 7.5,Navy,Canvas,$65.00 
24,Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$80.00 
25,Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$70.00 
26,New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,$90.00 
27,Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,$120.00 
28,Fila,Mindblower,Fashion,Men,US 8.5,White,Leather/Synthetic,$75.00 
29,Skechers,D'Lites,Walking,Women,US 7,Black,Synthetic,$65.00 
30,Nike,Air Max 2090,Running,Men,US 9,Grey,Mesh,$150.00 
31,Adidas,Adizero Adios 5,Running,Women,US 7.5,Blue,Mesh,$170.00 
32,Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,$130.00 
33,Converse,Chuck 70,Casual,Women,US 9,Pink,Canvas,$85.00 
34,Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,$90.00 
35,Vans,Slip-On,Skate,Women,US 7,Checkered,Canvas,$50.00 
36,New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,$80.00 
37,Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,$160.00 
38,Fila,Venom,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$65.00 
39,Skechers,Go Walk 5,Walking,Women,US 7.5,Black,Mesh,$60.00 
40,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
41,Adidas,NMD_R1,Running,Women,US 9,Black,Knit,$140.00 
42,Reebok,Zig Kinetica II,Running,Men,US 9.5,White,Mesh,$120.00 
43,Converse,Jack Purcell,Casual,Men,US 10,White,Canvas,$65.00 
44,Puma,Suede Classic,Casual,Women,US 8.5,Beige,Suede,$65.00 
45,Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,$70.00 
46,New Balance,327,Casual,Women,US 7.5,Orange,Suede/Mesh,$100.00 
47,Asics,Gel-Kayano 28,Running,Women,US 7,White,Mesh,$160.00 
48,Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,$70.00 
49,Skechers,Go Walk 5,Walking,Women,US 8,Black,Mesh,$60.00 
50,Nike,Free RN 5.0,Running,Men,US 10,Grey,Mesh,$100.00 
51,Adidas,Adilette Cloudfoam,Slides,Women,US 6,Black,Synthetic,$35.00 
52,Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,$130.00 
53,Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,$85.00 
54,Puma,Clyde All Pro,Basketball,Men,US 9.5,Black/Red,Leather,$130.00 
55,Vans,Era,Skate,Women,US 6.5,White,Canvas,$55.00 
56,New Balance,Fresh Foam More v2,Running,Men,US 12,Black/Grey,Mesh,$165.00 
57,Asics,GT-2000 10,Running,Women,US 7,Blue,Mesh,$120.00 
58,Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 
59,Skechers,Dynamight 2.0,Training,Women,US 9,Black,Mesh,$50.00 
60,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
61,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$130.00 
62,Reebok,Nano X1,Training,Men,US 9,Black,Knit,$130.00 
63,Converse,Chuck 70,Casual,Women,US 8.5,Yellow,Canvas,$85.00 
64,Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,$130.00 
65,Vans,Sk8-Hi,Skate,Women,US 7,Black,Suede,$70.00 
66,New Balance,Fresh Foam 1080v11,Running,Women,US 8,Green,Mesh,$150.00 
67,Asics,Gel-Quantum 360,Running,Men,US 11,Blue,Mesh,$170.00 
68,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$65.00 
69,Skechers,Max Cushioning,Running,Men,US 8.5,Black,Mesh,$90.00 
70,Nike,Air Max 90,Lifestyle,Women,US 6,Grey,Leather,$120.00 
71,Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,$220.00 
72,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 
73,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
74,Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$120.00 
75,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
76,New Balance,FuelCell Echo,Running,Women,US 7,Pink,Mesh,$100.00 
77,Asics,GT-2000 9,Running,Men,US 10.5,Black,Mesh,$120.00 
78,Fila,Original Fitness,Casual,Women,US 7,White,Leather,$60.00 
79,Skechers,Elite Flex,Walking,Men,US 10,Navy,Mesh,$65.00 
80,Nike,Blazer Low,Lifestyle,Women,US 7.5,White,Leather,$85.00 
